Country Name,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Afghanistan,3.532,2.462,4.055179566,4.515558808,5.226778809,6.209137625,6.971285595,9.747879532,10.10930518,12.41616105,15.8566786,17.80511312,19.90731707,20.146405,20.49712677,19.13421176,18.11656246,18.75346963,18.05322858
Angola,9.129634978,8.936063723,15.28559483,17.81270529,23.55205241,36.9709187,52.38100689,65.26645208,88.53861121,70.30716368,83.79949661,111.7896865,128.0528536,136.7098628,145.7122003,116.1936491,101.1238511,122.1238223,101.3532308
Albania,3.480355258,3.922100794,4.348068242,5.611496257,7.184685782,8.052073539,8.896072919,10.67732414,12.88135351,12.04420809,11.92692283,12.89076453,12.31983044,12.77622051,13.22814752,11.38685013,11.86119983,13.01968934,15.15643231
Andorra,1.429049198,1.546926174,1.755910032,2.361726862,2.894921778,3.159905484,3.456442103,3.952600602,4.085630584,3.674409558,3.449966857,3.629203786,3.188808943,3.193704343,3.271808157,2.789870188,2.896679212,3.00018075,3.218316013
United Arab Emirates,104.3373724,103.3116406,109.8162015,124.3463581,147.8243703,180.617468,222.1165419,257.9161334,315.4746157,253.5473587,289.7873383,350.6660313,374.5906059,390.1075562,403.1371001,358.1350579,357.0450647,385.6055068,422.2150436
Argentina,284.20375,268.69675,97.72400425,127.5869735,164.6579305,198.737095,232.5572608,287.5305084,361.5580371,332.9764846,423.6274221,530.1632816,545.9823757,552.0251403,526.3196737,594.7492854,557.5313762,643.6286653,524.8197429
Armenia,1.911563669,2.118467913,2.376335048,2.807061009,3.57661524,4.90046995,6.384451606,9.2063017,11.66204071,8.647936748,9.260284938,10.14211133,10.61932005,11.12146577,11.60951294,10.55333767,10.54613516,11.52745857,12.45794191
Antigua and Barbuda,0.82637037,0.800481481,0.814381481,0.856396296,0.91972963,1.022962963,1.157662963,1.312759259,1.37007037,1.22832963,1.1487,1.137637037,1.199948148,1.181448148,1.249733333,1.336692593,1.436585185,1.467977778,1.605944444
Australia,415.5762105,379.0839326,395.3427166,467.3907979,614.166311,695.0751767,747.5561545,853.9554055,1055.127126,928.0429981,1147.589183,1397.907917,1546.508558,1576.335283,1467.50482,1350.534154,1206.685107,1326.882872,1428.529571
Austria,196.7997789,197.3378792,213.3777715,261.6957788,300.9042215,315.9744186,335.9985573,388.6914454,430.2942874,400.1722979,391.8927465,431.1203101,409.4252342,430.068713,441.9961317,381.8175659,395.5686443,416.2304974,454.945881
Azerbaijan,5.272798391,5.707720391,6.23585682,7.276753895,8.680370408,13.2457161,20.98298634,33.05034378,48.85248296,44.29149042,52.90929479,65.9516272,69.68393585,74.16443595,75.24429428,53.07437049,37.86751896,40.86555891,47.11294118
Burundi,0.870486066,0.876794723,0.82539449,0.784654424,0.915257323,1.117113046,1.27337502,1.356199365,1.611835902,1.781455092,2.032135247,2.235820868,2.333308099,2.451625333,2.705783272,3.104394858,2.732808557,2.748180474,2.668495743
Belgium,236.2045329,236.5412975,257.1578204,317.3817156,368.5370002,385.5709489,407.918078,470.324254,515.2235242,481.3459294,480.9516295,522.6455192,496.1812603,521.6427144,534.6780758,462.1496793,475.7395888,501.5228684,543.0084993
Benin,3.519991326,3.6662226,4.194342849,5.349258334,6.190270756,6.567654494,7.034111651,8.16904869,9.787735426,9.738626993,9.535344283,10.69332195,11.14135895,12.51784573,13.28452865,11.38816096,11.82106615,12.70165474,14.26240701
Burkina Faso,2.968369991,3.19037105,3.622350204,4.740768355,5.451688868,6.146352742,6.547420134,7.625723124,9.451436359,9.450697336,10.10961896,12.08029664,12.56101609,13.44430114,13.94301692,11.83215928,12.83336337,14.10695683,15.89006502
Bangladesh,53.36978732,53.99128984,54.72408149,60.15892919,65.10854425,69.44294309,71.81908368,79.61188821,91.63127824,102.4777915,115.2790775,128.6379387,133.3557495,149.990451,172.8854549,195.0786787,221.415188,249.7109225,274.0389734
Bulgaria,13.24583384,14.18349796,16.40284641,21.14498355,26.15789474,29.8692834,34.37980889,44.40510147,54.43896642,52.02350466,50.68206105,57.67824102,54.30085742,55.81013844,57.08201126,50.78199671,53.95389762,59.19944742,66.36342245
Bahrain,9.062898936,8.976196809,9.593510638,11.07481383,13.15015957,15.9687234,18.50476064,21.73,25.71090426,22.93821809,25.71327128,28.77659574,30.74930851,32.53946809,33.38771277,31.0506383,32.2349734,35.4737766,37.80146277
Bahamas,8.07647,8.31783,8.88116,8.87009,9.05529,9.8362,10.16725,10.61834,10.526,9.98196,10.09576,10.07045,10.7205,10.4946,11.1429,11.8906,11.9926,12.3597,12.8378
Bosnia and Herzegovina,5.567405599,5.800774717,6.728771314,8.498560902,10.15755397,11.22295334,12.86461086,15.77876741,19.1127394,17.61383653,17.17678105,18.64472385,17.22119247,18.17233578,18.56086139,16.21981902,16.91428735,18.07907577,20.17740935
Belarus,12.73891213,12.35482014,14.59424902,17.82779132,23.14435185,30.20756732,36.95431235,45.27739981,60.76348315,50.87407805,57.22249077,61.75778894,65.68510255,75.52798423,78.81383998,56.4547344,47.72265782,54.72659525,60.03126227
Belize,0.83207245,0.86835875,0.92519795,0.9835756,1.0513866,1.1025649,1.21060375,1.27159805,1.35133865,1.31730945,1.3771771,1.460797903,1.522897506,1.579411253,1.667335061,1.721700991,1.789304088,1.858529677,1.915899787
Bolivia,8.397912509,8.141537938,7.905485216,8.082364868,8.773451739,9.549077869,11.45186916,13.12018316,16.67432463,17.33999217,19.64963131,23.96303343,27.08449748,30.65933888,32.99618801,33.00019825,33.9411262,37.50864217,40.28764793
Brazil,655.4481883,559.9837041,509.7952707,558.2337242,669.2893219,891.6338266,1107.626711,1397.114247,1695.855392,1666.996294,2208.838109,2616.156607,2465.228294,2472.819362,2456.043766,1802.212,1795.693266,2063.514689,1916.933708
Barbados,3.0595,3.0545,3.1065,3.2095,3.4445,3.8195,4.2175,4.674,4.785,4.4655,4.53,4.6575,4.61,4.677,4.6965,4.715,4.83,4.978,5.0865
Brunei,6.001153306,5.601090584,5.843329108,6.557333085,7.872333215,9.531402848,11.470703,12.24769425,14.39309907,10.73236629,13.70737074,18.52531998,19.0479403,18.09382992,17.09834254,12.93039494,11.40085427,12.12810486,13.56735118
Bhutan,0.42446409,0.461444514,0.520849552,0.604041958,0.682523857,0.79693812,0.874989896,1.168308517,1.227808791,1.234014292,1.547991318,1.777101317,1.781281282,1.756215665,1.907090813,2.003598213,2.158972129,2.450364928,2.446866405
Botswana,5.788329609,5.4896083,5.438857107,7.511582173,8.957467707,9.918907108,10.1378833,10.93905337,10.94507044,10.26713318,12.7866545,15.35197236,14.38000418,14.90175099,15.65466071,13.57875407,15.08257806,16.08843768,16.9142451
Central African Republic,0.914500299,0.931833303,0.99138787,1.139754799,1.270080251,1.337362392,1.460561215,1.697565949,1.985240986,2.059094048,2.142591376,2.43798284,2.510126699,1.691544192,1.894813505,1.695825708,1.825018191,2.072349794,2.220978978
Canada,744.7734159,738.9817924,760.6493341,895.5406466,1026.690238,1173.108599,1319.26481,1468.820408,1552.989691,1374.625142,1617.343367,1793.32663,1828.366482,1846.597422,1805.749878,1556.508816,1527.994742,1649.265644,1725.329193
Switzerland,279.8411517,287.2265312,310.1757725,363.063294,405.5313213,420.5449478,443.8019054,493.5373767,570.3041972,558.1998686,603.4344934,722.0382421,692.109694,712.7481242,734.396591,702.1495808,695.6006529,704.478517,735.5393016
Chile,77.86093215,70.97992396,69.73681144,75.64345984,99.21039286,122.964812,154.7880248,173.6059682,179.6384963,172.3894984,218.5375512,252.251992,267.1223201,278.3843327,260.5416373,243.9190794,250.4401497,277.0346755,297.5716931
China,1211.34687,1339.395719,1470.550015,1660.287966,1955.347005,2285.965892,2752.131773,3550.342737,4594.307033,5101.703073,6087.163875,7551.500124,8532.229987,9570.406236,10475.68292,11061.55308,11233.27654,12310.40937,13894.81755
Cameroon,10.56657895,10.95348524,12.41725182,15.97031575,18.82621528,19.50985084,20.91051397,23.92825133,27.71514458,27.93297168,27.50749971,30.63091218,30.15506457,33.72862282,36.38654692,32.21023291,33.8143379,36.09855014,39.97383906
"Congo, Dem. Rep.",19.08804631,7.4381891,8.728038525,8.93756706,10.29748348,11.96448467,14.45190247,16.73707182,19.78851587,18.64837331,21.56572004,25.8397492,29.30623583,32.6797453,35.90904027,37.9177049,37.13479997,38.01926563,47.14600459
