year,country,sector,emissions
2018,Afghanistan,Agriculture,10.45
2018,Afghanistan,Energy,67.91
2018,Afghanistan,Fugitive Emissions,2.22
2018,Afghanistan,Industrial Processes,0
2018,Afghanistan,Land-Use Change and Forestry,0
2018,Afghanistan,Other Fuel Combustion,65.69
2018,Afghanistan,Total excluding LUCF,81.51
2018,Afghanistan,Total including LUCF,81.51
2018,Afghanistan,Waste,3.15
2018,Albania,Agriculture,2.01
2018,Albania,Energy,0.22
2018,Albania,Fugitive Emissions,0
2018,Albania,Industrial Processes,0
2018,Albania,Land-Use Change and Forestry,0
2018,Albania,Other Fuel Combustion,0.22
2018,Albania,Total excluding LUCF,3.16
2018,Albania,Total including LUCF,3.16
2018,Albania,Waste,0.94
2018,Algeria,Agriculture,6.81
2018,Algeria,Energy,28.92
2018,Algeria,Fugitive Emissions,27.88
2018,Algeria,Industrial Processes,0.01
2018,Algeria,Land-Use Change and Forestry,0
2018,Algeria,Other Fuel Combustion,1.05
2018,Algeria,Total excluding LUCF,49.55
2018,Algeria,Total including LUCF,49.55
2018,Algeria,Waste,13.81
2018,Andorra,Agriculture,0
2018,Andorra,Energy,0
2018,Andorra,Fugitive Emissions,0
2018,Andorra,Industrial Processes,0
2018,Andorra,Land-Use Change and Forestry,0
2018,Andorra,Other Fuel Combustion,0
2018,Andorra,Total excluding LUCF,0.05
2018,Andorra,Total including LUCF,0.05
2018,Andorra,Waste,0.05
2018,Angola,Agriculture,16.66
2018,Angola,Energy,17.46
2018,Angola,Fugitive Emissions,16.83
2018,Angola,Industrial Processes,0
2018,Angola,Land-Use Change and Forestry,4.44
2018,Angola,Other Fuel Combustion,0.63
2018,Angola,Total excluding LUCF,35.52
2018,Angola,Total including LUCF,39.96
2018,Angola,Waste,1.4
2018,Antigua and Barbuda,Agriculture,0.01
2018,Antigua and Barbuda,Energy,0
2018,Antigua and Barbuda,Fugitive Emissions,0
2018,Antigua and Barbuda,Industrial Processes,0
2018,Antigua and Barbuda,Land-Use Change and Forestry,0
2018,Antigua and Barbuda,Other Fuel Combustion,0
2018,Antigua and Barbuda,Total excluding LUCF,0.2
2018,Antigua and Barbuda,Total including LUCF,0.2
2018,Antigua and Barbuda,Waste,0.19
2018,Argentina,Agriculture,84.73
2018,Argentina,Energy,12.48
2018,Argentina,Fugitive Emissions,10.06
2018,Argentina,Industrial Processes,0.03
2018,Argentina,Land-Use Change and Forestry,0.07
2018,Argentina,Other Fuel Combustion,2.42
2018,Argentina,Total excluding LUCF,117.85
2018,Argentina,Total including LUCF,117.92
2018,Argentina,Waste,20.61
2018,Armenia,Agriculture,0.68
2018,Armenia,Energy,1.06
2018,Armenia,Fugitive Emissions,0.9
2018,Armenia,Industrial Processes,0
2018,Armenia,Land-Use Change and Forestry,0
2018,Armenia,Other Fuel Combustion,0.17
2018,Armenia,Total excluding LUCF,2.43
2018,Armenia,Total including LUCF,2.43
2018,Armenia,Waste,0.68
2018,Australia,Agriculture,88.05
2018,Australia,Energy,39.18
2018,Australia,Fugitive Emissions,36.38
2018,Australia,Industrial Processes,0.07
2018,Australia,Land-Use Change and Forestry,0.81
2018,Australia,Other Fuel Combustion,2.8
2018,Australia,Total excluding LUCF,139.07
2018,Australia,Total including LUCF,139.89
2018,Australia,Waste,11.78
2018,Austria,Agriculture,4.82
2018,Austria,Energy,0.6
2018,Austria,Fugitive Emissions,0.25
2018,Austria,Industrial Processes,0.05
2018,Austria,Land-Use Change and Forestry,0
2018,Austria,Other Fuel Combustion,0.35
2018,Austria,Total excluding LUCF,6.66
2018,Austria,Total including LUCF,6.67
2018,Austria,Waste,1.19
2018,Azerbaijan,Agriculture,3.93
2018,Azerbaijan,Energy,36.17
2018,Azerbaijan,Fugitive Emissions,35.89
2018,Azerbaijan,Industrial Processes,0
2018,Azerbaijan,Land-Use Change and Forestry,0
2018,Azerbaijan,Other Fuel Combustion,0.28
2018,Azerbaijan,Total excluding LUCF,43.6
2018,Azerbaijan,Total including LUCF,43.6
2018,Azerbaijan,Waste,3.5
2018,Bahamas,Agriculture,0.01
2018,Bahamas,Energy,0.02
2018,Bahamas,Fugitive Emissions,0
2018,Bahamas,Industrial Processes,0
2018,Bahamas,Land-Use Change and Forestry,0
2018,Bahamas,Other Fuel Combustion,0.02
2018,Bahamas,Total excluding LUCF,0.23
2018,Bahamas,Total including LUCF,0.23
2018,Bahamas,Waste,0.21
2018,Bahrain,Agriculture,0.02
2018,Bahrain,Energy,2.52
2018,Bahrain,Fugitive Emissions,2.46
2018,Bahrain,Industrial Processes,0.05
2018,Bahrain,Land-Use Change and Forestry,0
2018,Bahrain,Other Fuel Combustion,0.06
2018,Bahrain,Total excluding LUCF,14.85
2018,Bahrain,Total including LUCF,14.85
2018,Bahrain,Waste,12.26
2018,Bangladesh,Agriculture,61.49
2018,Bangladesh,Energy,3.29
2018,Bangladesh,Fugitive Emissions,1.41
2018,Bangladesh,Industrial Processes,0
2018,Bangladesh,Land-Use Change and Forestry,0.02
2018,Bangladesh,Other Fuel Combustion,1.88
2018,Bangladesh,Total excluding LUCF,83.79
2018,Bangladesh,Total including LUCF,83.81
2018,Bangladesh,Waste,19.01
2018,Barbados,Agriculture,0.02
2018,Barbados,Energy,0.05
2018,Barbados,Fugitive Emissions,0.05
2018,Barbados,Industrial Processes,0
2018,Barbados,Land-Use Change and Forestry,0
2018,Barbados,Other Fuel Combustion,0
2018,Barbados,Total excluding LUCF,2.35
2018,Barbados,Total including LUCF,2.35
2018,Barbados,Waste,2.27
2018,Belarus,Agriculture,9.27
2018,Belarus,Energy,1.12
2018,Belarus,Fugitive Emissions,1.06
2018,Belarus,Industrial Processes,0.06
2018,Belarus,Land-Use Change and Forestry,0.03
2018,Belarus,Other Fuel Combustion,0.06
2018,Belarus,Total excluding LUCF,16.73
2018,Belarus,Total including LUCF,16.76
2018,Belarus,Waste,6.27
2018,Belgium,Agriculture,6.09
2018,Belgium,Energy,1.07
2018,Belgium,Fugitive Emissions,0.57
2018,Belgium,Industrial Processes,0.03
2018,Belgium,Land-Use Change and Forestry,0
2018,Belgium,Other Fuel Combustion,0.5
2018,Belgium,Total excluding LUCF,8.2
2018,Belgium,Total including LUCF,8.2
2018,Belgium,Waste,1.01
2018,Belize,Agriculture,0.19
2018,Belize,Energy,0.11
2018,Belize,Fugitive Emissions,0.09
2018,Belize,Industrial Processes,0
2018,Belize,Land-Use Change and Forestry,0.01
2018,Belize,Other Fuel Combustion,0.02
2018,Belize,Total excluding LUCF,0.53
2018,Belize,Total including LUCF,0.54
2018,Belize,Waste,0.23
2018,Benin,Agriculture,3.06
2018,Benin,Energy,2.33
2018,Benin,Fugitive Emissions,0
2018,Benin,Industrial Processes,0
2018,Benin,Land-Use Change and Forestry,0.01
2018,Benin,Other Fuel Combustion,2.32
2018,Benin,Total excluding LUCF,5.53
2018,Benin,Total including LUCF,5.55
2018,Benin,Waste,0.15
2018,Bhutan,Agriculture,0.42
2018,Bhutan,Energy,0.37
